Cargo;UF;Partido;Nr.;Candidato;Votos Nominais;Situação;%/Válidos;Coligação
Presidente;ZZ;PSDB;45;FERNANDO HENRIQUE CARDOSO;13,848;Eleito;66.208;PPB / PTB / PFL / PSD / PSDB
Presidente;AP;PSDB;45;FERNANDO HENRIQUE CARDOSO;68,277;Eleito;42.324;PPB / PTB / PFL / PSD / PSDB
Presidente;RR;PSDB;45;FERNANDO HENRIQUE CARDOSO;71,768;Eleito;61.924;PPB / PTB / PFL / PSD / PSDB
Presidente;AC;PSDB;45;FERNANDO HENRIQUE CARDOSO;90,363;Eleito;46.801;PPB / PTB / PFL / PSD / PSDB
Presidente;TO;PSDB;45;FERNANDO HENRIQUE CARDOSO;265,393;Eleito;66.678;PPB / PTB / PFL / PSD / PSDB
Presidente;SE;PSDB;45;FERNANDO HENRIQUE CARDOSO;297,243;Eleito;47.370;PPB / PTB / PFL / PSD / PSDB
Presidente;RO;PSDB;45;FERNANDO HENRIQUE CARDOSO;323,743;Eleito;66.405;PPB / PTB / PFL / PSD / PSDB
Presidente;DF;PSDB;45;FERNANDO HENRIQUE CARDOSO;391,201;Eleito;40.449;PPB / PTB / PFL / PSD / PSDB
Presidente;AL;PSDB;45;FERNANDO HENRIQUE CARDOSO;394,873;Eleito;54.794;PPB / PTB / PFL / PSD / PSDB
Presidente;AM;PSDB;45;FERNANDO HENRIQUE CARDOSO;452,076;Eleito;54.677;PPB / PTB / PFL / PSD / PSDB
Presidente;PI;PSDB;45;FERNANDO HENRIQUE CARDOSO;482,649;Eleito;48.090;PPB / PTB / PFL / PSD / PSDB
Presidente;MS;PSDB;45;FERNANDO HENRIQUE CARDOSO;520,471;Eleito;61.256;PPB / PTB / PFL / PSD / PSDB
Presidente;RN;PSDB;45;FERNANDO HENRIQUE CARDOSO;525,842;Eleito;50.719;PPB / PTB / PFL / PSD / PSDB
Presidente;PB;PSDB;45;FERNANDO HENRIQUE CARDOSO;541,067;Eleito;45.259;PPB / PTB / PFL / PSD / PSDB
Presidente;MT;PSDB;45;FERNANDO HENRIQUE CARDOSO;663,773;Eleito;73.098;PPB / PTB / PFL / PSD / PSDB
Presidente;MA;PSDB;45;FERNANDO HENRIQUE CARDOSO;736,042;Eleito;48.625;PPB / PTB / PFL / PSD / PSDB
Presidente;CE;PSDB;45;FERNANDO HENRIQUE CARDOSO;804,969;Eleito;30.306;PPB / PTB / PFL / PSD / PSDB
Presidente;ES;PSDB;45;FERNANDO HENRIQUE CARDOSO;814,535;Eleito;64.748;PPB / PTB / PFL / PSD / PSDB
Presidente;PA;PSDB;45;FERNANDO HENRIQUE CARDOSO;1,020,868;Eleito;56.815;PPB / PTB / PFL / PSD / PSDB
Presidente;GO;PSDB;45;FERNANDO HENRIQUE CARDOSO;1,247,510;Eleito;65.957;PPB / PTB / PFL / PSD / PSDB
Presidente;SC;PSDB;45;FERNANDO HENRIQUE CARDOSO;1,255,253;Eleito;49.427;PPB / PTB / PFL / PSD / PSDB
Presidente;PE;PSDB;45;FERNANDO HENRIQUE CARDOSO;1,637,394;Eleito;57.224;PPB / PTB / PFL / PSD / PSDB
Presidente;BA;PSDB;45;FERNANDO HENRIQUE CARDOSO;1,977,643;Eleito;50.918;PPB / PTB / PFL / PSD / PSDB
Presidente;RS;PSDB;45;FERNANDO HENRIQUE CARDOSO;2,036,805;Eleito;40.599;PPB / PTB / PFL / PSD / PSDB
Presidente;PR;PSDB;45;FERNANDO HENRIQUE CARDOSO;2,492,531;Eleito;59.249;PPB / PTB / PFL / PSD / PSDB
Presidente;RJ;PSDB;45;FERNANDO HENRIQUE CARDOSO;2,848,277;Eleito;42.276;PPB / PTB / PFL / PSD / PSDB
Presidente;MG;PSDB;45;FERNANDO HENRIQUE CARDOSO;4,225,240;Eleito;55.677;PPB / PTB / PFL / PSD / PSDB
Presidente;SP;PSDB;45;FERNANDO HENRIQUE CARDOSO;9,736,728;Eleito;59.886;PPB / PTB / PFL / PSD / PSDB
Presidente;ZZ;PSDC;27;JOSÉ MARIA EYMAEL;17;Não eleito;0.081;(sem coligação)
Presidente;ZZ;PSC;20;SERGIO BUENO;23;Não eleito;0.11;(sem coligação)
Presidente;RR;PSDC;27;JOSÉ MARIA EYMAEL;26;Não eleito;0.022;(sem coligação)
Presidente;ZZ;PSN;31;VASCO AZEVEDO NETO;34;Não eleito;0.163;(sem coligação)
Presidente;RR;PSC;20;SERGIO BUENO;40;Não eleito;0.035;(sem coligação)
Presidente;RR;PSN;31;VASCO AZEVEDO NETO;42;Não eleito;0.036;(sem coligação)
Presidente;ZZ;PSTU;16;JOSÉ MARIA DE ALMEIDA;45;Não eleito;0.215;(sem coligação)
Presidente;AP;PSDC;27;JOSÉ MARIA EYMAEL;60;Não eleito;0.037;(sem coligação)
Presidente;ZZ;PMN;33;IVAN MOACYR DA FROTA;61;Não eleito;0.292;(sem coligação)
Presidente;RR;PSTU;16;JOSÉ MARIA DE ALMEIDA;75;Não eleito;0.065;(sem coligação)
Presidente;ZZ;PTN;19;THEREZA TINAJERO RUIZ;85;Não eleito;0.406;(sem coligação)
Presidente;ZZ;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;86;Não eleito;0.411;(sem coligação)
Presidente;AP;PSN;31;VASCO AZEVEDO NETO;102;Não eleito;0.063;(sem coligação)
Presidente;ZZ;PV;43;ALFREDO HÉLIO SYRKIS;118;Não eleito;0.564;(sem coligação)
Presidente;RR;PMN;33;IVAN MOACYR DA FROTA;119;Não eleito;0.103;(sem coligação)
Presidente;RR;PV;43;ALFREDO HÉLIO SYRKIS;121;Não eleito;0.104;(sem coligação)
Presidente;AP;PMN;33;IVAN MOACYR DA FROTA;129;Não eleito;0.08;(sem coligação)
Presidente;RR;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;171;Não eleito;0.148;(sem coligação)
Presidente;AP;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;187;Não eleito;0.116;(sem coligação)
Presidente;AP;PSC;20;SERGIO BUENO;226;Não eleito;0.14;(sem coligação)
Presidente;AC;PSC;20;SERGIO BUENO;283;Não eleito;0.147;(sem coligação)
Presidente;ZZ;PRONA;56;ENEAS FERREIRA CARNEIRO;307;Não eleito;1.468;(sem coligação)
Presidente;AP;PV;43;ALFREDO HÉLIO SYRKIS;324;Não eleito;0.201;(sem coligação)
Presidente;AL;PSDC;27;JOSÉ MARIA EYMAEL;371;Não eleito;0.051;(sem coligação)
Presidente;RR;PTN;19;THEREZA TINAJERO RUIZ;442;Não eleito;0.381;(sem coligação)
Presidente;AP;PSTU;16;JOSÉ MARIA DE ALMEIDA;445;Não eleito;0.276;(sem coligação)
Presidente;DF;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;455;Não eleito;0.047;(sem coligação)
Presidente;AL;PSC;20;SERGIO BUENO;467;Não eleito;0.065;(sem coligação)
Presidente;AC;PTN;19;THEREZA TINAJERO RUIZ;467;Não eleito;0.242;(sem coligação)
Presidente;DF;PSN;31;VASCO AZEVEDO NETO;487;Não eleito;0.05;(sem coligação)
Presidente;AC;PSDC;27;JOSÉ MARIA EYMAEL;508;Não eleito;0.263;(sem coligação)
Presidente;AP;PTN;19;THEREZA TINAJERO RUIZ;588;Não eleito;0.364;(sem coligação)
Presidente;AC;PSN;31;VASCO AZEVEDO NETO;603;Não eleito;0.312;(sem coligação)
Presidente;RO;PSN;31;VASCO AZEVEDO NETO;607;Não eleito;0.125;(sem coligação)
Presidente;AC;PSTU;16;JOSÉ MARIA DE ALMEIDA;655;Não eleito;0.339;(sem coligação)
Presidente;TO;PSC;20;SERGIO BUENO;787;Não eleito;0.198;(sem coligação)
Presidente;AC;PV;43;ALFREDO HÉLIO SYRKIS;808;Não eleito;0.418;(sem coligação)
Presidente;MT;PSN;31;VASCO AZEVEDO NETO;810;Não eleito;0.089;(sem coligação)
Presidente;MS;PSC;20;SERGIO BUENO;812;Não eleito;0.096;(sem coligação)
Presidente;TO;PTN;19;THEREZA TINAJERO RUIZ;814;Não eleito;0.205;(sem coligação)
Presidente;DF;PSTU;16;JOSÉ MARIA DE ALMEIDA;826;Não eleito;0.085;(sem coligação)
Presidente;TO;PSN;31;VASCO AZEVEDO NETO;854;Não eleito;0.215;(sem coligação)
Presidente;DF;PSDC;27;JOSÉ MARIA EYMAEL;908;Não eleito;0.094;(sem coligação)
Presidente;AL;PTN;19;THEREZA TINAJERO RUIZ;915;Não eleito;0.127;(sem coligação)
Presidente;AM;PSN;31;VASCO AZEVEDO NETO;959;Não eleito;0.116;(sem coligação)
Presidente;AC;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;972;Não eleito;0.503;(sem coligação)
Presidente;RO;PV;43;ALFREDO HÉLIO SYRKIS;1,067;Não eleito;0.219;(sem coligação)
Presidente;RO;PSDC;27;JOSÉ MARIA EYMAEL;1,069;Não eleito;0.219;(sem coligação)
Presidente;AL;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;1,111;Não eleito;0.154;(sem coligação)
Presidente;MT;PSC;20;SERGIO BUENO;1,114;Não eleito;0.123;(sem coligação)
Presidente;AL;PSN;31;VASCO AZEVEDO NETO;1,173;Não eleito;0.163;(sem coligação)
Presidente;TO;PSDC;27;JOSÉ MARIA EYMAEL;1,195;Não eleito;0.3;(sem coligação)
Presidente;AM;PSC;20;SERGIO BUENO;1,209;Não eleito;0.146;(sem coligação)
Presidente;RO;PSTU;16;JOSÉ MARIA DE ALMEIDA;1,232;Não eleito;0.253;(sem coligação)
Presidente;AL;PV;43;ALFREDO HÉLIO SYRKIS;1,317;Não eleito;0.183;(sem coligação)
Presidente;DF;PMN;33;IVAN MOACYR DA FROTA;1,368;Não eleito;0.141;(sem coligação)
Presidente;AL;PSTU;16;JOSÉ MARIA DE ALMEIDA;1,385;Não eleito;0.192;(sem coligação)
Presidente;ZZ;PPS;23;CIRO FERREIRA GOMES;1,407;Não eleito;6.727;PL / PPS / PAN
Presidente;DF;PSC;20;SERGIO BUENO;1,409;Não eleito;0.146;(sem coligação)
Presidente;MS;PSN;31;VASCO AZEVEDO NETO;1,425;Não eleito;0.168;(sem coligação)
Presidente;AC;PMN;33;IVAN MOACYR DA FROTA;1,461;Não eleito;0.757;(sem coligação)
Presidente;RO;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;1,469;Não eleito;0.301;(sem coligação)
Presidente;MT;PSDC;27;JOSÉ MARIA EYMAEL;1,591;Não eleito;0.175;(sem coligação)
Presidente;RO;PMN;33;IVAN MOACYR DA FROTA;1,597;Não eleito;0.328;(sem coligação)
Presidente;TO;PV;43;ALFREDO HÉLIO SYRKIS;1,624;Não eleito;0.408;(sem coligação)
Presidente;MS;PSDC;27;JOSÉ MARIA EYMAEL;1,665;Não eleito;0.196;(sem coligação)
Presidente;TO;PSTU;16;JOSÉ MARIA DE ALMEIDA;1,677;Não eleito;0.421;(sem coligação)
Presidente;DF;PV;43;ALFREDO HÉLIO SYRKIS;1,739;Não eleito;0.18;(sem coligação)
Presidente;RO;PTN;19;THEREZA TINAJERO RUIZ;1,793;Não eleito;0.368;(sem coligação)
Presidente;MT;PV;43;ALFREDO HÉLIO SYRKIS;1,924;Não eleito;0.212;(sem coligação)
Presidente;TO;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;1,938;Não eleito;0.487;(sem coligação)
Presidente;MT;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;1,957;Não eleito;0.216;(sem coligação)
Presidente;MT;PSTU;16;JOSÉ MARIA DE ALMEIDA;2,024;Não eleito;0.223;(sem coligação)
Presidente;AM;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;2,161;Não eleito;0.261;(sem coligação)
Presidente;RN;PSC;20;SERGIO BUENO;2,175;Não eleito;0.21;(sem coligação)
Presidente;SE;PSN;31;VASCO AZEVEDO NETO;2,190;Não eleito;0.349;(sem coligação)
Presidente;SE;PSC;20;SERGIO BUENO;2,198;Não eleito;0.35;(sem coligação)
Presidente;MT;PTN;19;THEREZA TINAJERO RUIZ;2,198;Não eleito;0.242;(sem coligação)
Presidente;PB;PSC;20;SERGIO BUENO;2,200;Não eleito;0.184;(sem coligação)
Presidente;SE;PSDC;27;JOSÉ MARIA EYMAEL;2,205;Não eleito;0.351;(sem coligação)
Presidente;MS;PSTU;16;JOSÉ MARIA DE ALMEIDA;2,207;Não eleito;0.26;(sem coligação)
Presidente;SE;PTN;19;THEREZA TINAJERO RUIZ;2,238;Não eleito;0.357;(sem coligação)
Presidente;DF;PTN;19;THEREZA TINAJERO RUIZ;2,240;Não eleito;0.232;(sem coligação)
Presidente;ES;PSC;20;SERGIO BUENO;2,263;Não eleito;0.18;(sem coligação)
Presidente;MS;PT do B;70;JOÃO DE DEUS BARBOSA DE JESUS;2,312;Não eleito;0.272;(sem coligação)
Presidente;ES;PSN;31;VASCO AZEVEDO NETO;2,336;Não eleito;0.186;(sem coligação)
Presidente;RR;PRONA;56;ENEAS FERREIRA CARNEIRO;2,353;Não eleito;2.030;(sem coligação)
Presidente;TO;PMN;33;IVAN MOACYR DA FROTA;2,434;Não eleito;0.612;(sem coligação)
Presidente;GO;PSN;31;VASCO AZEVEDO NETO;2,471;Não eleito;0.131;(sem coligação)
Presidente;ES;PSDC;27;JOSÉ MARIA EYMAEL;2,505;Não eleito;0.199;(sem coligação)
Presidente;AM;PV;43;ALFREDO HÉLIO SYRKIS;2,506;Não eleito;0.303;(sem coligação)
Presidente;MS;PV;43;ALFREDO HÉLIO SYRKIS;2,508;Não eleito;0.295;(sem coligação)
Presidente;ES;PSTU;16;JOSÉ MARIA DE ALMEIDA;2,631;Não eleito;0.209;(sem coligação)
Presidente;AM;PSDC;27;JOSÉ MARIA EYMAEL;2,689;Não eleito;0.325;(sem coligação)
Presidente;RN;PSN;31;VASCO AZEVEDO NETO;2,699;Não eleito;0.26;(sem coligação)
