UF;Cargo;Candidato;Idade;Nr;Partido;Proporção;VotaçãoNominal;Situação;Sexo
RS;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;50.93978443;3.237.207;NÃO ELEITO;MASCULINO
RS;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;49.06021557;3.117.761;ELEITO;FEMININO
SC;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;56.60710118;2.030.135;NÃO ELEITO;MASCULINO
SC;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;43.39289882;1.556.226;ELEITO;FEMININO
SE;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;46.44200116;493.280;NÃO ELEITO;MASCULINO
SE;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;53.55799884;568.862;ELEITO;FEMININO
SP;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;54.05349276;12.308.483;NÃO ELEITO;MASCULINO
SP;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;45.94650724;10.462.447;ELEITO;FEMININO
TO;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;41.12431066;273.306;NÃO ELEITO;MASCULINO
TO;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;58.87568934;391.279;ELEITO;FEMININO
VT;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;47.17073631;25.017;NÃO ELEITO;MASCULINO
VT;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;52.82926369;28.018;ELEITO;FEMININO
