"Data Source","Indicadores do Desenvolvimento Mundial",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Brasil","BRA","Migração, total líquido","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","15924","","","","","106000","","","",
"Brasil","BRA","Desemprego, total (% da força de trabalho total)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.37200021743774","6.42000007629395","6.03000020980835","6.22900009155273","6.4210000038147","7.25299978256226","8.15799999237061","9.42300033569336","10.2080001831055","9.89500045776367","9.60999965667725","9.37100028991699","9.99100017547607","9.10499954223633","9.56799983978271","8.63899993896484","8.32699966430664","7.34299993515015","8.52200031280518","7.73600006103516","6.91699981689453","7.18599987030029","6.97599983215332","6.66099977493286","8.42700004577637","11.6000003814697","12.8219995498657","12.3339996337891","12.0830001831055","11.9659996032715",
"Brasil","BRA","Pobreza, linha de pobreza nacional (% da população)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brasil","BRA","Índice de Gini","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","58","58.4","59","58.4","55.6","58.5","59.7","61.4","63.3","60.5","","53.2","60.1","","59.6","59.9","59.8","59.6","59","","58.4","58.1","57.6","56.5","56.3","55.6","54.9","54","53.7","","52.9","53.5","52.8","52.1","51.9","53.3","53.3","53.9","","",
"Brasil","BRA","Pobreza, US$1,90/dia (PPP) (% da população)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","21.3","21.7","27.4","26.7","23","10.5","17.7","20","18.2","21.5","","20.7","19.8","","12.9","14.1","14","12.7","13.3","","11.5","10.2","11","9.7","8.6","7.2","6.7","5.5","5.4","","4.7","3.7","3.1","2.7","3.2","3.9","4.4","4.4","","",
"Brasil","BRA","Participação da renda dos 20% mais pobres","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","2.7","2.6","2.6","2.7","2.9","2.7","2.4","2.1","2","2.3","","2.8","2.4","","2.4","2.2","2.3","2.4","2.5","","2.5","2.6","2.6","2.9","2.9","3","3","3.2","3.2","","3.3","3.3","3.5","3.6","3.6","3.3","3.2","3.1","","",
"Brasil","BRA","Prevalência da desnutrição, peso para a idade (% de crianças menores de 5 anos):","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","","","","","","4.5","","","","","","3.7","","","","","2.2","","","","","","","","","","","","","",
"Brasil","BRA","Partos assistidos por pessoal de saúde qualificado (% do total):","SH.STA.BRTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5","","","","","87.6","98.6","98.6","98.6","98.6","98.3","98.5","98.4","98.6","98.6","97","98.6","98.8","98.9","98.9","99","99","99.1","99.1","99.2","","","","","",
"Brasil","BRA","Imunização, sarampo (% de crianças de 12 a 23 meses)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","57","73","66","68","73","67","67","64","62","60","78","85","91","85","77","87","80","99","95","99","99","99","96","97","97","98","99","99","99","99","99","99","99","98","97","96","95","91","92","91","",
"Brasil","BRA","Taxa de mortalidade, menores de 5 anos (por 1.000 nascidos vivos)","SH.DYN.MORT","168.9","164.1","159.7","155.5","151.7","148.2","145","141.9","138.9","135.8","132.5","129.1","125.7","122.3","118.9","115.6","112.2","108.5","104.6","100.4","96.1","91.8","87.6","83.7","80.2","76.9","73.9","71","68.3","65.6","62.9","60.1","57.1","54","50.9","47.8","44.8","42","39.4","37","34.6","32.4","30.3","28.3","26.4","24.7","23.2","21.8","20.6","19.6","18.7","17.9","17.3","16.7","16.2","15.7","16.4","14.8","14.4","13.9","",
"Brasil","BRA","Prevalência de HIV, total (% de população de 15 a 49 anos)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","",
"Brasil","BRA","Despesa pública na educação, total (% do PIB)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56816005706787","","","4.75665998458862","3.80062007904053","3.94893002510071","3.84468007087708","3.75037002563477","","3.97447991371155","4.47908020019531","4.87060022354126","4.97425985336304","5.26883983612061","5.46355009078979","5.64879989624023","5.73741006851196","5.85510015487671","5.8388500213623","5.94848012924194","6.24105978012085","6.314040184021","6.32254981994629","","","",
"Brasil","BRA","Matrícula escolar, ensino médio (% bruto)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.994216918945","101.868667602539","102.371032714844","101.2919921875","","95.1699981689453","96.7201232910156","96.6654815673828","","95.2633819580078","","","","","","","","","",
"Brasil","BRA","Matrícula escolar, ensino fundamental (% bruto)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165.645385742188","","150.785552978516","146.827789306641","140.544494628906","133.696304321289","133.262161254883","","128.179794311523","132.055206298828","131.165161132813","","132.496612548828","","","","","","","","","",
"Brasil","BRA","Taxa de conclusão do ensino fundamental, total (% de faixa etária relevante)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.229606628418","114.199432373047","109.366607666016","100.684646606445","","","","","","","","","","","","","","","","",
"Brasil","BRA","Proporção meninas/meninos nos ensinos fundamental e médio (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0129599571228","1.03544998168945","1.03352999687195","1.02884995937347","","1.04399001598358","1.03873002529144","1.04416000843048","","1.02593004703522","","","","","","","","","",
"Brasil","BRA","Taxa de alfabetização, total de adultos (% de pessoas com 15 anos ou mais)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","74.5867309570313","","","","","","","","","","","","","","","","","","","","86.3678817749023","","","","88.6162414550781","","89.6152267456055","90.0093688964844","90.03662109375","90.298210144043","90.3791809082031","91.4112396240234","91.3378524780273","91.4842376708984","91.7294311523438","92.0478973388672","92.8084411621094","93.0758209228516","93.2275009155273","","",
"Brasil","BRA","RNB per capita, PPP ($ internacional atual)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6520","6760","6780","7110","7420","7970","8060","8310","8200","8160","8800","8960","9250","9420","10140","10670","11350","12280","12990","12980","13860","14650","14670","15370","15430","14470","13950","14250","14520","14850","",
"Brasil","BRA","RNB per capita, método Atlas (US$ atual)","NY.GNP.PCAP.CD","","","","","","","280","310","370","410","450","510","590","760","980","1180","1360","1490","1680","1970","2200","2090","2010","1730","1630","1580","1800","2050","2260","2760","2730","3280","3170","3090","3030","3760","4460","5020","4840","4120","3930","3350","3090","2980","3340","4000","4850","6190","7620","8320","9650","11080","12310","12790","12120","10190","8920","8700","9080","9130","",
"Brasil","BRA","RNB, PPP ($ internacional atual)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","971958751416.345","1024393151205.33","1046628720898.72","1115145772070.52","1183401350205.99","1291380780995.78","1327601778272.37","1389212623180.84","1391681123066.13","1406472614162.11","1538129202525.13","1587691758684.04","1660196184117.21","1713529500931.72","1865227767451.45","1986218399261.88","2135907584142.05","2335440097782.97","2493769549044.97","2515775629776.84","2712167338494.9","2894294561187.89","2923719823241.04","3090347659210.83","3127764536961.12","2958026429307.17","2876740136507.09","2961280980576.57","3041123356393.52","3134970431394.81","",
"Brasil","BRA","RNB, método Atlas (US$ atual)","NY.GNP.ATLS.CD","","","","","","","23652719263.6785","27284844196.4268","33783381116.439","38464481847.5918","42676319834.3488","49333934414.1925","59181570691.8089","77769954639.8915","102771057123.646","126660628603.433","149591618100.552","167757714503.167","193343515409.989","232359917428.957","265943037420.998","258616663815.922","254812549863.468","223410392284.419","215480414611.018","213647286293.256","248978509417.029","288960953821.376","325226621205.02","404313302388.914","407396519747.758","496943272787.596","488536360417.852","484379062396.804","482312479827.234","608397907318.463","733743624738.618","838749280473.242","822019637109.784","710237212817.793","687360261722.071","593608679520.33","555587833685.46","542636019083.71","615417800633.269","743965964942.594","912940405431.438","1177503044167.77","1462676824719.49","1614015615291.7","1887920101671.44","2188989722562.72","2453821974856.44","2571096779327.01","2456973659048.14","2084231874786.18","1839984300138.5","1808309847372.21","1902286218698.39","1926332314781.08","",
"Brasil","BRA","PIB per capita, PPP ($ internacional atual)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6701.20904431983","6909.92174583214","6915.3127018945","7287.07540308775","7712.67167399525","8090.89000017257","8288.17894975527","8582.0677464321","8575.87351669118","8611.90022971288","9060.78639942992","9260.76595917983","9568.06384730739","9733.77081647566","10445.3445102854","10988.9586831226","11642.44394693","12549.9279757162","13312.7634157633","13269.1185715791","14299.5516973717","15040.0581828206","15046.2898798158","15588.7262064568","15718.5656477083","14744.1129133865","14256.1632471211","14519.8491302518","14940.6726059252","15258.8508327006","",
